model,objective,train_rmse,test_rmse,train_mae,test_mae,train_loss_scaled,n_features,lambda,step_multiplier
0.25/L,ridge step,4.545194682618537,5.966347968037128,3.561828654745714,4.808968996326125,0.23960309772150576,165,0.001,0.25
0.5/L,ridge step,4.456223986956486,6.135022778812935,3.502469664954806,4.916095564655856,0.2303146017540155,165,0.001,0.5
0.9/L,ridge step,4.3930705119537174,6.094157632317586,3.4523054537422735,4.86495063570448,0.22383283573652954,165,0.001,0.9
1.1/L,ridge step,4.375288617179319,6.044129724069711,3.437837450402486,4.816804077467861,0.22202448022678273,165,0.001,1.1
