model,objective,train_rmse,test_rmse,train_mae,test_mae,train_loss_scaled,n_features,lambda
lambda=0,ridge,4.197535813530287,5.7081503455439675,3.3161855337986728,4.461432604722655,0.2043507656213274,165,0.0
lambda=1e-05,ridge,4.198745458962334,5.709349134894838,3.3192848804921202,4.462008834552266,0.2044685621567376,165,1e-05
lambda=0.0001,ridge,4.2024335591134,5.695417922618132,3.3192793800129117,4.454708051867717,0.20482792270207922,165,0.0001
lambda=0.001,ridge,4.218127510346524,5.6297332327182446,3.323774624171492,4.4286548787318365,0.2063606354775471,165,0.001
lambda=0.01,ridge,4.260209161627912,5.534270282318333,3.3517509629704465,4.389560185299396,0.21049863922971682,165,0.01
lambda=0.1,ridge,4.320140093520413,5.56226981086492,3.394440205168156,4.442871482196114,0.21646271902309897,165,0.1
