model,objective,train_rmse,test_rmse,train_mae,test_mae,train_loss_scaled,n_features,lambda,sparsity_percent
GD,MSE,4.343793705931056,5.90785282613709,3.4124882638255265,4.696719944630435,0.21883955958375156,165,0.0,
Nesterov,MSE + L2,4.230521769430364,5.609316652907272,3.332020871274747,4.423400097777198,0.20757512927442195,165,0.001,
FISTA,MSE + L1,4.271377424220508,5.462162035031502,3.360571329051575,4.3383194630332085,0.21160374251023842,165,0.001,29.268292682926827
GD,MSE + smooth L0-like,4.348657397530081,5.836354696674656,3.415081986721841,4.649344787239279,0.21932989779013648,165,0.001,0.0
