model,objective,train_rmse,test_rmse,train_mae,test_mae,train_loss_scaled,n_features,lambda
SGD,ridge,4.466295392565354,5.446487746143628,3.5367795738920793,4.305247643563065,0.23135683527088646,165,0.001
Nesterov,ridge,4.230521769430364,5.609316652907272,3.332020871274747,4.423400097777198,0.20757512927442195,165,0.001
Heavy Ball,ridge,4.294630293223484,5.644430237217099,3.375187648226555,4.474889019965823,0.21391390461220464,165,0.001
Gradient Descent,ridge,4.343964494710137,5.907277344730285,3.4126033102130897,4.696426834655865,0.21885676853909614,165,0.001
SAGA,ridge,4.357171357511756,5.965616009648314,3.423468578456592,4.74193000550552,0.22018956264771725,165,0.001
Adagrad,ridge,4.433972778630816,6.222942176242479,3.4930107555286245,4.972872220102192,0.2280202900438523,165,0.001
Adam,ridge,4.7327254247450785,6.510979435265984,3.6978623402450057,4.997955444394854,0.2597826046074996,165,0.001
