method,iteration,loss,time,grad_evals
Gradient Descent,0,0.5000000000000001,0.00014354201266542077,
Gradient Descent,2,0.3172316434025845,0.0002585420152172446,
Gradient Descent,4,0.30237226390915733,0.0003386250464245677,
Gradient Descent,6,0.29234654429492846,0.0004272090154699981,
Gradient Descent,8,0.2849767351405563,0.0004999590455554426,
Gradient Descent,10,0.2792538897776037,0.0005708340322598815,
Gradient Descent,12,0.27464111166766203,0.0006430420326068997,
Gradient Descent,14,0.2708252589883483,0.0007138340151868761,
Gradient Descent,16,0.26760805711135505,0.0007843750063329935,
Gradient Descent,18,0.26485519449348927,0.0008550840429961681,
Gradient Descent,20,0.2624708839080053,0.0009252500021830201,
Gradient Descent,22,0.26038418660515045,0.0009945420315489173,
Gradient Descent,24,0.2585410973457193,0.0010633750353008509,
Gradient Descent,26,0.25689964520697334,0.00113220902858302,
Gradient Descent,28,0.25542668627323206,0.0012018750421702862,
Gradient Descent,30,0.25409570903934947,0.0012704170076176524,
Gradient Descent,32,0.25288528057079623,0.001340709044598043,
Gradient Descent,34,0.2517779166195681,0.0014109170297160745,
Gradient Descent,36,0.2507592422912055,0.001479750033468008,
Gradient Descent,38,0.24981735746300623,0.0015490420046262443,
Gradient Descent,40,0.2489423498039956,0.0016178340301848948,
Gradient Descent,42,0.2481259162550202,0.0016865840298123658,
Gradient Descent,44,0.24736106554108728,0.0017573750228621066,
Gradient Descent,46,0.24664188211726087,0.0018280420335941017,
Gradient Descent,48,0.24596333729926123,0.0018972500110976398,
Gradient Descent,50,0.24532113705528588,0.001966667012311518,
Gradient Descent,52,0.24471159857405725,0.0020358340116217732,
Gradient Descent,54,0.24413154962243425,0.002105250023305416,
Gradient Descent,56,0.2435782460922177,0.002174167020712048,
Gradient Descent,58,0.2430493041625655,0.0022438750020228326,
Gradient Descent,60,0.24254264427517405,0.00231241702567786,
Gradient Descent,62,0.2420564447051794,0.0023822500370442867,
Gradient Descent,64,0.24158910296109387,0.0024529590154998004,
Gradient Descent,66,0.24113920359693783,0.0025224999990314245,
Gradient Descent,68,0.2407054912940184,0.0025920000043697655,
Gradient Descent,70,0.24028684828660804,0.0026602920261211693,
Gradient Descent,72,0.23988227537836707,0.0027308340067975223,
Gradient Descent,74,0.23949087593458415,0.002801291993819177,
Gradient Descent,76,0.23911184234660962,0.002871292002964765,
Gradient Descent,78,0.23874444455487448,0.002940625010523945,
Gradient Descent,80,0.23838802028997572,0.0030121669988147914,
Gradient Descent,82,0.23804196675085226,0.0030824170098640025,
Gradient Descent,84,0.23770573348771804,0.0031514590373262763,
Gradient Descent,86,0.2373788162972625,0.0032203750452026725,
Gradient Descent,88,0.23706075197033616,0.003290834021754563,
Gradient Descent,90,0.2367511137592397,0.003359584021382034,
Gradient Descent,92,0.23644950745390667,0.0034282089909538627,
Gradient Descent,94,0.23615556797456824,0.0034974589943885803,
Gradient Descent,96,0.23586895640362116,0.003566125000361353,
Gradient Descent,98,0.23558935739194756,0.003636250039562583,
Gradient Descent,100,0.2353164768853327,0.0037053340347483754,
Gradient Descent,102,0.23505004012525196,0.00377429201034829,
Gradient Descent,104,0.23478978988548668,0.003843542013783008,
Gradient Descent,106,0.23453548491200787,0.003911792009603232,
Gradient Descent,108,0.234286898538562,0.003980667039286345,
Gradient Descent,110,0.23404381745456854,0.004050999996252358,
Gradient Descent,112,0.23380604060543178,0.004119542019907385,
Gradient Descent,114,0.23357337820830404,0.004188625025562942,
Gradient Descent,116,0.23334565086879921,0.004258083994500339,
Gradient Descent,118,0.23312268878623232,0.004328125040046871,
Gradient Descent,120,0.23290433103670743,0.0043982090428471565,
Gradient Descent,122,0.23269042492485914,0.004470709012821317,
Gradient Descent,124,0.23248082539630405,0.004539625020697713,
Gradient Descent,126,0.23227539450392204,0.004610917007084936,
Gradient Descent,128,0.23207400092199446,0.004681667021941394,
Gradient Descent,130,0.23187651950299643,0.004752959008328617,
Gradient Descent,132,0.2316828308725015,0.004825167008675635,
Gradient Descent,134,0.2314928210582222,0.004894959041848779,
Gradient Descent,136,0.23130638114969637,0.00527675001649186,
Gradient Descent,138,0.23112340698554698,0.005377084016799927,
Gradient Descent,140,0.23094379886560515,0.005450875032693148,
Gradient Descent,142,0.23076746128549877,0.005523334024474025,
Gradient Descent,144,0.23059430269158018,0.005595666996669024,
Gradient Descent,146,0.23042423525430394,0.0056686250027269125,
Gradient Descent,148,0.23025717465836934,0.005739875021390617,
Gradient Descent,150,0.23009303990812607,0.005809916998259723,
Gradient Descent,152,0.22993175314689573,0.005883084028027952,
Gradient Descent,154,0.22977323948900394,0.0059531250153668225,
Gradient Descent,156,0.22961742686343886,0.006022999994456768,
Gradient Descent,158,0.2294642458681587,0.006094584008678794,
Gradient Descent,160,0.22931362963416976,0.006165334023535252,
Gradient Descent,162,0.22916551369857857,0.006234959000721574,
Gradient Descent,164,0.22901983588589842,0.00630462501430884,
Gradient Descent,166,0.2288765361969577,0.006375917000696063,
Gradient Descent,168,0.22873555670481766,0.006448417028877884,
Gradient Descent,170,0.2285968414571605,0.006517959001939744,
Gradient Descent,172,0.22846033638465785,0.006587459007278085,
Gradient Descent,174,0.22832598921487154,0.0066574590164236724,
Gradient Descent,176,0.2281937493912787,0.006727416999638081,
Gradient Descent,178,0.22806356799704772,0.006796583998948336,
Gradient Descent,180,0.2279353976832238,0.006865750008728355,
Gradient Descent,182,0.22780919260100999,0.006933583994396031,
Gradient Descent,184,0.22768490833785776,0.007003667007666081,
Gradient Descent,186,0.2275625018571023,0.007072750013321638,
Gradient Descent,188,0.2274419314409012,0.007141792040783912,
Gradient Descent,190,0.2273231566362517,0.007211791991721839,
Gradient Descent,192,0.22720613820388338,0.00728070898912847,
Gradient Descent,194,0.22709083806983493,0.007350417028646916,
Gradient Descent,196,0.22697721927954065,0.007419875008054078,
Gradient Descent,198,0.2268652459542662,0.007489375013392419,
Gradient Descent,200,0.22675488324974286,0.007558584038633853,
Gradient Descent,202,0.22664609731686308,0.007627875020261854,
Gradient Descent,204,0.22653885526430986,0.007696959015447646,
Gradient Descent,206,0.22643312512300007,0.0077687500161118805,
Gradient Descent,208,0.22632887581223288,0.00783908402081579,
Gradient Descent,210,0.22622607710744114,0.00790837500244379,
Gradient Descent,212,0.22612469960945086,0.007977708999533206,
Gradient Descent,214,0.22602471471515997,0.00804658402921632,
Gradient Descent,216,0.2259260945895555,0.00811737502226606,
Gradient Descent,218,0.22582881213899197,0.008187416999135166,
Gradient Descent,220,0.22573284098566024,0.008256542030721903,
Gradient Descent,222,0.2256381554431804,0.008325917006004602,
Gradient Descent,224,0.22554473049325663,0.008394959033466876,
Gradient Descent,226,0.2254525417633365,0.008466291998047382,
Gradient Descent,228,0.22536156550522027,0.008536875015124679,
Gradient Descent,230,0.22527177857456993,0.008606167044490576,
Gradient Descent,232,0.22518315841127082,0.008678084006533027,
Gradient Descent,234,0.2250956830206011,0.008747834013774991,
Gradient Descent,236,0.22500933095516776,0.008816959045361727,
Gradient Descent,238,0.22492408129757044,0.00888787501025945,
Gradient Descent,240,0.22483991364375613,0.008960167004261166,
Gradient Descent,242,0.2247568080870307,0.009030209039337933,
Gradient Descent,244,0.2246747452026947,0.009099374990910292,
Gradient Descent,246,0.22459370603327383,0.00916862499434501,
Gradient Descent,248,0.2245136720743145,0.00923833402339369,
Gradient Descent,250,0.2244346252607183,0.009308042004704475,
Gradient Descent,252,0.2243565479535899,0.00937720900401473,
Gradient Descent,254,0.22427942292757452,0.00944658403750509,
Gradient Descent,256,0.22420323335866219,0.00951816700398922,
Gradient Descent,258,0.2241279628124381,0.009594875038601458,
Gradient Descent,260,0.22405359523275822,0.009663875040132552,
Gradient Descent,262,0.2239801149308317,0.009733000013511628,
Gradient Descent,264,0.2239075065746923,0.009802750020753592,
Gradient Descent,266,0.22383575517904078,0.009871167014352977,
Gradient Descent,268,0.2237648460954436,0.009940334013663232,
Gradient Descent,270,0.2236947650028718,0.010009291989263147,
Gradient Descent,272,0.22362549789856548,0.010078417020849884,
Gradient Descent,274,0.223557031089211,0.010147291992325336,
Gradient Descent,276,0.22348935118241692,0.010217542003374547,
Gradient Descent,278,0.22342244507847703,0.010286292003002018,
Gradient Descent,280,0.22335629996240844,0.010355459002312273,
Gradient Descent,282,0.2232909032962537,0.01042454200796783,
Gradient Descent,284,0.22322624281163633,0.010491500026546419,
Gradient Descent,286,0.22316230650255922,0.010562125011347234,
Gradient Descent,288,0.22309908261843706,0.01063125004293397,
Gradient Descent,290,0.22303655965735353,0.010699917038436979,
Gradient Descent,292,0.22297472635953355,0.010768792009912431,
Gradient Descent,294,0.22291357170102352,0.01083800004562363,
Gradient Descent,296,0.2228530848875712,0.010910834011156112,
Gradient Descent,298,0.2227932553486972,0.010979542043060064,
Gradient Descent,300,0.2227340727319515,0.011048500018659979,
Gradient Descent,302,0.22267552689734774,0.01111741701606661,
Gradient Descent,304,0.22261760791196902,0.011187084019184113,
Gradient Descent,306,0.22256030604473837,0.011256208992563188,
Gradient Descent,308,0.2225036117613481,0.011325584026053548,
Gradient Descent,310,0.2224475157193435,0.011394584027584642,
Gradient Descent,312,0.2223920087633522,0.011462374997790903,
Gradient Descent,314,0.222337081920458,0.01153016701573506,
Gradient Descent,316,0.22228272639571087,0.011598542041610926,
Gradient Descent,318,0.22222893356776985,0.011668750026728958,
Gradient Descent,320,0.22217569498467385,0.011738000030163676,
Gradient Descent,322,0.2221230023597361,0.011806875001639128,
Gradient Descent,324,0.22207084756755716,0.011876000033225864,
Gradient Descent,326,0.22201922264015397,0.011944875004701316,
Gradient Descent,328,0.22196811976319908,0.012013834028039128,
Gradient Descent,330,0.22191753127236846,0.012082750035915524,
Gradient Descent,332,0.22186744964979174,0.012151584029197693,
Gradient Descent,334,0.22181786752060398,0.012221125012729317,
Gradient Descent,336,0.22176877764959377,0.012290417042095214,
Gradient Descent,338,0.2217201729379452,0.012360666994936764,
Gradient Descent,340,0.22167204642007082,0.01242908404674381,
Gradient Descent,342,0.22162439126053185,0.01249933399958536,
